,AUC ROC,Algorithm,Avg. Precision,Fold,Time
12,0.487098243695669,"node2vec [dim=13, p=2.0, q=0.5, t=5",0.4335105831610173,0,516.469792459
13,0.4864496813015142,"node2vec [dim=13, p=2.0, q=0.5, t=5 + topics",0.4295480086554794,0,535.6415318770014
14,0.4854618510351816,"node2vec [dim=13, p=2.0, q=1.0, t=5",0.4287520868398841,0,518.8265233650018
15,0.4877195522106793,"node2vec [dim=13, p=2.0, q=1.0, t=5 + topics",0.4341422578001785,0,534.2501381850016
16,0.4999260074568482,"node2vec [dim=13, p=2.0, q=2.0, t=5",0.4301033627648665,0,521.6133306110061
17,0.4989943215310124,"node2vec [dim=13, p=2.0, q=2.0, t=5 + topics",0.4274244951656723,0,534.6423052760001
18,0.4819191737306462,"node2vec [dim=128, p=0.5, q=0.5, t=5",0.41164686050211374,0,534.5163222970003
19,0.4866987528992371,"node2vec [dim=128, p=0.5, q=0.5, t=5 + topics",0.4206828473002213,0,571.9061487810031
20,0.4911167375022892,"node2vec [dim=128, p=0.5, q=1.0, t=5",0.41738873706819146,0,549.9704810910043
21,0.4986267241571581,"node2vec [dim=128, p=0.5, q=1.0, t=5 + topics",0.4240538166485315,0,579.907784795003
22,0.5006951697454325,"node2vec [dim=128, p=0.5, q=2.0, t=5",0.4198564315393798,0,546.0645680529997
23,0.4975754089092409,"node2vec [dim=128, p=0.5, q=2.0, t=5 + topics",0.4192385848143909,0,567.0647567100023
24,0.4922704822846246,"node2vec [dim=128, p=1.0, q=0.5, t=5",0.4225029120710108,0,531.3979827689982
25,0.4907922121569591,"node2vec [dim=128, p=1.0, q=0.5, t=5 + topics",0.41492061823048615,0,558.8102729970052
26,0.4975351947232106,"node2vec [dim=128, p=1.0, q=1.0, t=5",0.42315019729410175,0,544.8210280610001
27,0.5008548323222498,"node2vec [dim=128, p=1.0, q=1.0, t=5 + topics",0.4198928486696636,0,574.7785752560013
28,0.4937224653685306,"node2vec [dim=128, p=1.0, q=2.0, t=5",0.4178734940594091,0,552.2350385280006
29,0.506871664006596,"node2vec [dim=128, p=1.0, q=2.0, t=5 + topics",0.42234590320519394,0,581.7407727280006
30,0.4833487292231887,"node2vec [dim=128, p=2.0, q=0.5, t=5",0.4225960081229347,0,531.4336284999954
31,0.4872373979230637,"node2vec [dim=128, p=2.0, q=0.5, t=5 + topics",0.41794092673511496,0,570.4051575490013
32,0.4880810962234125,"node2vec [dim=128, p=2.0, q=1.0, t=5",0.4161356772115875,0,540.4677390839934
33,0.4932981587499316,"node2vec [dim=128, p=2.0, q=1.0, t=5 + topics",0.4182670440813408,0,576.8059458080024
34,0.494156749782282,"node2vec [dim=128, p=2.0, q=2.0, t=5",0.4184114315958015,0,535.2692768370034
35,0.5005234936628404,"node2vec [dim=128, p=2.0, q=2.0, t=5 + topics",0.4187978214915765,0,582.1356912269986
36,0.477483629812944,Our model,0.4148274232150507,0,86.56219110399981
37,0.6208517276429661,Barbera model,0.5493098869175012,0,77.4077539669961
38,0.5831300439252532,"node2vec [dim=13, p=0.5, q=0.5, t=5",0.4265093081357823,1,424.4114444210063
39,0.580625561360055,"node2vec [dim=13, p=0.5, q=0.5, t=5 + topics",0.4252723155644995,1,448.14980885799736
40,0.5813968111799921,"node2vec [dim=13, p=0.5, q=1.0, t=5",0.4199961559539125,1,430.3056854899987
41,0.5825475390845296,"node2vec [dim=13, p=0.5, q=1.0, t=5 + topics",0.4245294100090001,1,448.7278301109981
42,0.5768070015949622,"node2vec [dim=13, p=0.5, q=2.0, t=5",0.4179439196003169,1,434.3666453459955
43,0.5798035066365989,"node2vec [dim=13, p=0.5, q=2.0, t=5 + topics",0.4190643936892242,1,452.0523350599978
44,0.5768321394981148,"node2vec [dim=13, p=1.0, q=0.5, t=5",0.4197641902527852,1,422.3835012679992
45,0.5828838952822232,"node2vec [dim=13, p=1.0, q=0.5, t=5 + topics",0.4209527414747365,1,445.326759271993
46,0.5755367693014508,"node2vec [dim=13, p=1.0, q=1.0, t=5",0.4140544161781949,1,427.57137298299483
47,0.5644260344548346,"node2vec [dim=13, p=1.0, q=1.0, t=5 + topics",0.4008312528652849,1,445.0337802460052
48,0.5859132784979033,"node2vec [dim=13, p=1.0, q=2.0, t=5",0.4250072492545039,1,439.27956882199936
49,0.5778206763193277,"node2vec [dim=13, p=1.0, q=2.0, t=5 + topics",0.4177044841568093,1,454.54404811199487
50,0.5814330250843744,"node2vec [dim=13, p=2.0, q=0.5, t=5",0.4206804837739617,1,431.02498327800276
51,0.5763537553019742,"node2vec [dim=13, p=2.0, q=0.5, t=5 + topics",0.41275400790620015,1,437.6364306739997
52,0.5810659911817778,"node2vec [dim=13, p=2.0, q=1.0, t=5",0.4206552714091261,1,430.36208638500096
53,0.5693097669302318,"node2vec [dim=13, p=2.0, q=1.0, t=5 + topics",0.4151987154248471,1,448.05575154699915
54,0.5586612322580902,"node2vec [dim=13, p=2.0, q=2.0, t=5",0.4034991880717168,1,443.1911912299984
55,0.5775824892685424,"node2vec [dim=13, p=2.0, q=2.0, t=5 + topics",0.4212119741263329,1,455.2600463660056
56,0.5647750569745843,"node2vec [dim=128, p=0.5, q=0.5, t=5",0.4091991057562439,1,475.4286964060011
57,0.565022948434584,"node2vec [dim=128, p=0.5, q=0.5, t=5 + topics",0.4093980461088441,1,518.5769857259947
58,0.5688941356340589,"node2vec [dim=128, p=0.5, q=1.0, t=5",0.4126502078622464,1,475.6437793180012
59,0.5673412980764738,"node2vec [dim=128, p=0.5, q=1.0, t=5 + topics",0.4114795466152519,1,504.58690072599717
60,0.5686736931251591,"node2vec [dim=128, p=0.5, q=2.0, t=5",0.413084149005555,1,472.54339569800493
61,0.5655149876670408,"node2vec [dim=128, p=0.5, q=2.0, t=5 + topics",0.4099457406430684,1,510.9630156380008
62,0.5613380610090656,"node2vec [dim=128, p=1.0, q=0.5, t=5",0.4052640914723538,1,476.2487965530018
63,0.5651491557768182,"node2vec [dim=128, p=1.0, q=0.5, t=5 + topics",0.4099587741200103,1,509.1758209239997
64,0.5673871113784097,"node2vec [dim=128, p=1.0, q=1.0, t=5",0.4088469840798283,1,478.53830502199713
65,0.5656812252742908,"node2vec [dim=128, p=1.0, q=1.0, t=5 + topics",0.4070135329929788,1,526.4530886830034
66,0.5683114576932923,"node2vec [dim=128, p=1.0, q=2.0, t=5",0.4116304239141019,1,476.1083824349989
67,0.5646641633234836,"node2vec [dim=128, p=1.0, q=2.0, t=5 + topics",0.41006119873623614,1,516.907245552
68,0.5673031594950104,"node2vec [dim=128, p=2.0, q=0.5, t=5",0.4112492109837305,1,465.892893568991
69,0.5641417276634595,"node2vec [dim=128, p=2.0, q=0.5, t=5 + topics",0.40815311786903535,1,501.7050518999895
70,0.5716600413177877,"node2vec [dim=128, p=2.0, q=1.0, t=5",0.41508398043035455,1,475.1822325190005
71,0.5653870404551496,"node2vec [dim=128, p=2.0, q=1.0, t=5 + topics",0.4100681962946492,1,520.8093534799991
72,0.565399767360856,"node2vec [dim=128, p=2.0, q=2.0, t=5",0.40970877864965227,1,469.13855848499225
73,0.5671312227673829,"node2vec [dim=128, p=2.0, q=2.0, t=5 + topics",0.4096906267993259,1,516.5033176350116
74,0.595588754366295,Our model,0.4433533891082143,1,79.3276391630061
75,0.5389122190705152,Barbera model,0.4012509026936098,1,72.85278600000309
76,0.5857285205873166,"node2vec [dim=13, p=0.5, q=0.5, t=5",0.4265047215251727,2,426.77595765900327
77,0.5865657236831388,"node2vec [dim=13, p=0.5, q=0.5, t=5 + topics",0.4236025929982721,2,437.735761598
78,0.5952264146639071,"node2vec [dim=13, p=0.5, q=1.0, t=5",0.4289141840503117,2,435.5784254530008
79,0.5854908234335998,"node2vec [dim=13, p=0.5, q=1.0, t=5 + topics",0.42427987627135577,2,448.02597113199585
80,0.5910056114316342,"node2vec [dim=13, p=0.5, q=2.0, t=5",0.4318126837544696,2,431.9567686939991
81,0.5897289831295094,"node2vec [dim=13, p=0.5, q=2.0, t=5 + topics",0.4248025231933579,2,448.2049999270093
82,0.5818765359845819,"node2vec [dim=13, p=1.0, q=0.5, t=5",0.4252197742747224,2,424.10110206800164
83,0.5863290970777831,"node2vec [dim=13, p=1.0, q=0.5, t=5 + topics",0.4275656860578709,2,446.13474761000543
84,0.5780763251680833,"node2vec [dim=13, p=1.0, q=1.0, t=5",0.41923002283595096,2,429.64570259599714
85,0.599958105914915,"node2vec [dim=13, p=1.0, q=1.0, t=5 + topics",0.4363512503054186,2,447.24406602900126
86,0.5958240373186158,"node2vec [dim=13, p=1.0, q=2.0, t=5",0.4300923687298362,2,435.3768259659992
87,0.6010297257841218,"node2vec [dim=13, p=1.0, q=2.0, t=5 + topics",0.437375580096066,2,457.496024816006
88,0.5919116897908339,"node2vec [dim=13, p=2.0, q=0.5, t=5",0.4327212887959028,2,426.839431779008
89,0.5802502805794244,"node2vec [dim=13, p=2.0, q=0.5, t=5 + topics",0.4254994588714483,2,445.4630568670109
90,0.5865960660748606,"node2vec [dim=13, p=2.0, q=1.0, t=5",0.4317673124808396,2,427.89501351199584
91,0.583613958910384,"node2vec [dim=13, p=2.0, q=1.0, t=5 + topics",0.4236938015817844,2,447.405038744997
92,0.5775003230932114,"node2vec [dim=13, p=2.0, q=2.0, t=5",0.4211911526789951,2,434.37538210499036
93,0.5932924684998385,"node2vec [dim=13, p=2.0, q=2.0, t=5 + topics",0.4335189096711308,2,448.76473758999776
94,0.5763717557302164,"node2vec [dim=128, p=0.5, q=0.5, t=5",0.41920874759008064,2,462.01370993000455
95,0.5729850154372331,"node2vec [dim=128, p=0.5, q=0.5, t=5 + topics",0.41718509909552576,2,512.9343128269975
96,0.5863318983694029,"node2vec [dim=128, p=0.5, q=1.0, t=5",0.4260006067826616,2,472.9917999530008
97,0.5853157861414112,"node2vec [dim=128, p=0.5, q=1.0, t=5 + topics",0.42601222855721227,2,510.66012783099717
98,0.5833607414405336,"node2vec [dim=128, p=0.5, q=2.0, t=5",0.4255871740235664,2,468.73970611899864
99,0.5839511167469028,"node2vec [dim=128, p=0.5, q=2.0, t=5 + topics",0.4249421961807744,2,509.1293065439968
100,0.5823269076024589,"node2vec [dim=128, p=1.0, q=0.5, t=5",0.4221800693721977,2,464.96519552799873
101,0.5764449094047236,"node2vec [dim=128, p=1.0, q=0.5, t=5 + topics",0.4186176052112228,2,515.0636771379942
